id,month,day,hour,weekday,fatal_injuries,serious_injuries,minor_injuries,latitude,longitude,municipality,street
3486,Feb,8,15,Wednesday,0,0,1,38.732892,-9.146693,Lisboa,
3504,Feb,8,18,Wednesday,0,0,2,38.757656,-9.179198,Lisboa,
3515,Feb,8,21,Wednesday,1,0,0,38.75275,-9.17004,Lisboa,
3516,Feb,8,22,Wednesday,0,0,1,38.749933,-9.119064,Lisboa,
3520,Feb,9,1,Thursday,0,0,1,38.77035,-9.166764,Lisboa,
3521,Feb,9,1,Thursday,0,0,1,38.764998,-9.177163,Lisboa,
3538,Feb,9,9,Thursday,0,0,1,38.737339,-9.144012,Lisboa,
3551,Feb,9,10,Thursday,0,0,1,38.70669,-9.174383,Lisboa,
3554,Feb,9,11,Thursday,0,0,2,38.759624,-9.111538,Lisboa,
3562,Feb,9,13,Thursday,0,0,1,38.757019,-9.141432,Lisboa,
3565,Feb,9,13,Thursday,0,0,1,38.767599,-9.104242,Lisboa,
3580,Feb,9,15,Thursday,0,0,1,38.717599,-9.129931,Lisboa,
3593,Feb,9,18,Thursday,0,0,1,38.780198,-9.16439,Lisboa,
3605,Feb,9,19,Thursday,0,0,1,38.73538,-9.14495,Lisboa,
3665,Feb,10,14,Friday,0,0,1,38.734033,-9.149685,Lisboa,
3670,Feb,10,15,Friday,0,0,1,38.764354,-9.131195,Lisboa,
3673,Feb,10,15,Friday,0,0,1,38.741484,-9.124472,Lisboa,
3678,Feb,10,16,Friday,0,0,1,38.752234,-9.2059,Lisboa,
3682,Feb,10,16,Friday,0,0,1,38.728169,-9.137649,Lisboa,
3724,Feb,11,4,Saturday,0,0,1,38.76305,-9.134878,Lisboa,
3732,Feb,11,7,Saturday,0,0,1,38.71684,-9.152648,Lisboa,
3806,Feb,12,0,Sunday,0,0,1,38.734301,-9.15392,Lisboa,
3809,Feb,12,2,Sunday,0,0,1,38.774771,-9.097143,Lisboa,
3893,Feb,13,11,Monday,0,1,0,38.727428,-9.162772,Lisboa,
3895,Feb,13,11,Monday,0,0,1,38.71614,-9.150108,Lisboa,
3897,Feb,13,12,Monday,0,0,1,38.707857,-9.173714,Lisboa,
3918,Feb,13,15,Monday,0,0,1,38.699397,-9.179238,Lisboa,
3927,Feb,13,16,Monday,0,0,2,38.747943,-9.15057,Lisboa,
3979,Feb,14,11,Tuesday,0,0,1,38.720232,-9.155341,Lisboa,
4015,Feb,14,18,Tuesday,0,0,1,38.727192,-9.140775,Lisboa,
4029,Feb,14,19,Tuesday,0,0,1,38.766,-9.126453,Lisboa,
4038,Feb,14,20,Tuesday,0,0,2,38.792459,-9.156787,Lisboa,
4045,Feb,15,0,Wednesday,0,0,1,38.731581,-9.130865,Lisboa,
4047,Feb,15,6,Wednesday,0,0,1,38.713549,-9.177473,Lisboa,
4059,Feb,15,8,Wednesday,0,0,1,38.715901,-9.158635,Lisboa,
4112,Feb,15,19,Wednesday,0,0,1,38.75837,-9.111663,Lisboa,
4116,Feb,15,19,Wednesday,0,0,1,38.721392,-9.139377,Lisboa,
4119,Feb,15,21,Wednesday,0,1,0,38.719897,-9.135609,Lisboa,
4120,Feb,15,23,Wednesday,0,0,1,38.706643,-9.153705,Lisboa,
4121,Feb,16,4,Thursday,0,0,1,38.768785,-9.128831,Lisboa,
4137,Feb,16,9,Thursday,0,0,2,38.714576,-9.121501,Lisboa,
4138,Feb,16,9,Thursday,0,0,2,38.746217,-9.15112,Lisboa,
4151,Feb,16,11,Thursday,0,0,1,38.744366,-9.165091,Lisboa,
4159,Feb,16,14,Thursday,0,0,1,38.698457,-9.18316,Lisboa,
4160,Feb,16,14,Thursday,0,0,1,38.765583,-9.152566,Lisboa,
4167,Feb,16,16,Thursday,0,0,1,38.776765,-9.119973,Lisboa,
4170,Feb,16,16,Thursday,0,0,1,38.719748,-9.138682,Lisboa,
4173,Feb,16,17,Thursday,0,0,1,38.731397,-9.128203,Lisboa,
4183,Feb,16,18,Thursday,0,0,1,38.755028,-9.17897,Lisboa,
4187,Feb,16,19,Thursday,0,0,1,38.698485,-9.183157,Lisboa,
4188,Feb,16,19,Thursday,0,0,1,38.744212,-9.11749,Lisboa,
4198,Feb,16,22,Thursday,0,0,1,38.731745,-9.133055,Lisboa,
4202,Feb,17,0,Friday,0,1,0,38.749654,-9.113864,Lisboa,
4261,Feb,17,15,Friday,0,0,1,38.746057,-9.204258,Lisboa,
4275,Feb,17,17,Friday,0,0,1,38.766686,-9.096958,Lisboa,
4308,Feb,18,3,Saturday,0,0,1,38.769549,-9.123688,Lisboa,
4361,Feb,18,14,Saturday,0,0,1,38.782688,-9.122062,Lisboa,
4367,Feb,18,15,Saturday,0,0,1,38.761672,-9.163249,Lisboa,
4402,Feb,18,23,Saturday,0,0,1,38.718551,-9.174268,Lisboa,
4407,Feb,19,3,Sunday,0,0,1,38.743008,-9.132918,Lisboa,
4479,Feb,19,23,Sunday,0,0,1,38.731295,-9.136157,Lisboa,
4485,Feb,20,2,Monday,0,0,2,38.745328,-9.116671,Lisboa,
4504,Feb,20,10,Monday,0,0,3,38.737893,-9.148044,Lisboa,
4525,Feb,20,15,Monday,0,0,1,38.731131,-9.147717,Lisboa,
4561,Feb,20,20,Monday,0,0,1,38.76577,-9.182906,Lisboa,
4564,Feb,20,22,Monday,0,0,1,38.719004,-9.171631,Lisboa,
4565,Feb,20,22,Monday,0,0,1,38.760274,-9.172462,Lisboa,
4568,Feb,20,23,Monday,0,0,1,38.758122,-9.160945,Lisboa,
4569,Feb,20,23,Monday,0,0,2,38.725419,-9.150983,Lisboa,
4572,Feb,21,5,Tuesday,0,0,1,38.732774,-9.14541,Lisboa,
4587,Feb,21,12,Tuesday,0,0,1,38.72815,-9.156083,Lisboa,
4591,Feb,21,14,Tuesday,0,0,1,38.753584,-9.189924,Lisboa,
4609,Feb,21,19,Tuesday,0,0,1,38.774111,-9.105798,Lisboa,
4612,Feb,21,19,Tuesday,0,0,1,38.769085,-9.104634,Lisboa,
4624,Feb,22,0,Wednesday,0,0,1,38.775773,-9.110735,Lisboa,
4664,Feb,22,14,Wednesday,0,0,1,38.734736,-9.136785,Lisboa,
4691,Feb,22,19,Wednesday,0,0,1,38.70633,-9.175267,Lisboa,
4701,Feb,22,20,Wednesday,0,0,1,38.758612,-9.139955,Lisboa,
4727,Feb,23,10,Thursday,0,0,1,38.767263,-9.101108,Lisboa,
4729,Feb,23,10,Thursday,0,0,1,38.760119,-9.185726,Lisboa,
4739,Feb,23,12,Thursday,0,0,1,38.745451,-9.158661,Lisboa,
4774,Feb,23,17,Thursday,0,0,1,38.792805,-9.15059,Lisboa,
4775,Feb,23,18,Thursday,0,0,1,38.709223,-9.13717,Lisboa,
4788,Feb,23,20,Thursday,0,0,1,38.734021,-9.13558,Lisboa,
4823,Feb,24,12,Friday,0,0,1,38.738634,-9.152552,Lisboa,
4828,Feb,24,13,Friday,0,0,1,38.761734,-9.184106,Lisboa,
4857,Feb,24,16,Friday,0,0,1,38.750063,-9.175408,Lisboa,
4873,Feb,24,17,Friday,0,0,1,38.758658,-9.112808,Lisboa,
4874,Feb,24,17,Friday,0,0,1,38.758557,-9.139999,Lisboa,
4881,Feb,24,18,Friday,0,0,1,38.749756,-9.173567,Lisboa,
4908,Feb,25,7,Saturday,0,0,2,38.707981,-9.173674,Lisboa,
4925,Feb,25,13,Saturday,0,0,1,38.707612,-9.151236,Lisboa,
4931,Feb,25,14,Saturday,0,0,2,38.774611,-9.148599,Lisboa,
4933,Feb,25,15,Saturday,0,0,2,38.768212,-9.119012,Lisboa,
4942,Feb,25,16,Saturday,0,0,1,38.719991,-9.207805,Lisboa,
4960,Feb,25,21,Saturday,0,0,1,38.742596,-9.138309,Lisboa,
4971,Feb,26,5,Sunday,0,0,1,38.723693,-9.137369,Lisboa,
5030,Feb,26,21,Sunday,0,0,1,38.763737,-9.173863,Lisboa,
5080,Feb,27,16,Monday,0,0,1,38.741368,-9.129525,Lisboa,
5107,Feb,27,19,Monday,0,0,1,38.727298,-9.145981,Lisboa,
5112,Feb,27,21,Monday,0,0,1,38.720348,-9.157652,Lisboa,
5134,Feb,28,10,Tuesday,0,0,1,38.780336,-9.140779,Lisboa,
5139,Feb,28,10,Tuesday,0,0,1,38.747819,-9.152034,Lisboa,
5145,Feb,28,12,Tuesday,0,0,1,38.7618,-9.123376,Lisboa,
5147,Feb,28,13,Tuesday,0,0,1,38.735165,-9.140198,Lisboa,
